# This file is generated on 26-Aug-2022 at 15:50:58 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 5.4548e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 4.6888e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 3.9058e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 3.2241e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 2.6016e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 2.0797e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 1.6721e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 1.3157e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 1.0117e+01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 8.0225e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 5.9321e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 4.3833e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 3.2629e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 2.4490e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 1.9401e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 1.4040e+00
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 9.9568e-01
1, 9, 3.7500e+01, 4.5000e+01, 1.0000e+00, 4.0000e+01, 8.3333e-01
